Country,JobTitle,AnnualSalary
" New Zealand","Personal Assistant/Office Manager",86000
" United States","Product Manager",86000
Afghanistan,"Country Director",41000
Argentina,"Exec admin",1080000
Bangladesh,Diplomat,70000
Belgium,Compliance,180000
"Belgium ","Office manager ",32400
Bermuda,"Office Manager and Executive Assistant",132500
Brazil,"Solutions Architect",253000
"Britain ","Class teacher",39000
Bulgaria,"SAP Consultant",55000
Burma,IT,1700
Cambodia,"Volunteer and Partnerships Program Manager",24000
Canada,Realtor,600000
Catalonia,"Financial Manager",60000
"Cayman Islands","Senior analyst",81000
Chile,"Customer project officer",38000
China,student,5000000
Colombia,"Mission Support Specialist",88000
Congo,"Program Manager",84000
"Costa Rica","Value Stream Manager",78000
"Cote d'Ivoire","HR and Operations Manager",67500
croatia,waiter,50000
"Croatia ",Director,36000
"Czech Republic","Principal Software Engineer",1300000
"Czech Republic ","Helpdesk Professional ",525000
Denmark,"IT Director",1400000
"Denmark ","Space Plan Consultant",829500
Eritrea,"Foreign Service Officer",98000
Estonia,"Email Marketing and SMS Specialist",27960
Finland,"Performance Marketing Lead ",65000
France,"Principal developer",350000
Germany,"Cyber Security Management",1500000
"Germany ","Strategic Assistant",125000
Ghana,"Country Support Manager",82583
"Great Britain","Procurement manager",40000
"Great Britain ","Data Analyst ",27600
Greece,"Manager Assistant",22400
"Hong Kong","Tutor of History, ESL and English",342000
Hungary,"IT advisor, manager",69241
India,Producer,2800000
Indonesia,"Regional Operations & Training Manager ",870000000
Ireland,"Site Reliability Engineer",180000
"Ireland ","Senior program manager ",106000
Israel,"Director of Engineering",580000
Italy,"Tech Lead",148000
Jamaica,"IT Team Lead",45000
Japan,"Voice Actor",20800000
"Jersey, Channel islands","Executive assistant",31000
Kenya,"Global Director, Learning & Instructional Design",56000
Kuwait,"Instructional coach ",13560
Latvia,"Vice President",50000
Lithuania,Assistant,14700
Luxembourg,"Software Engineer",91000
"Mainland China",Teacher,120000
Malaysia,"Vice President",288000
Malta,"Software architect ",42000
Mexico,"Senior Engineering Manager",1300000
Morocco,"Production engineer",28000
Myanmar,"Risk Management Associate",1200
Netherlands,"Software Architect ",150000
Netherlands,"developer ",150000
Netherlands,"Director of Engineering ",150000
"New Zealand","General Manager Strategic Design",300000
"New Zealand ","General Manager",220000
Nigeria,"Senior Analyst, Management Consulting",7390
"Northern Ireland","Locum doctor",90000
"Northern Ireland ","Dispensing Optician",22000
Norway," Senior Manager",1150000
"Norway ",Purchaser,689000
Pakistan,"Foreign Service Officer",102824
Panamá,"QA Coordinator",27600
Philippines,"Executive Assistant ",1100000
Poland,"Planning and forecasting lead",180000
Policy,"Team Lead",112000
Portugal,"Staff Software Engineer",105000
"Portugal ",Contractor,75140
"Puerto Rico","Associate Attorney",42000
"Puerto Rico ","Executive Assistant ",80000
Qatar,"Field engineer",68000
Romania,"Principal Product Designer",85000
Russia,"Assistant ",15000
Rwanda,"Senior associate geotechnical engineer",65000
"Saudi Arabia","Principal Engineer",107045
Scotland,"Director of Engineering",95000
Serbia,"Senior Technical Sales Consultant",23400
Singapore,"Product Manager",2111538
"Singapore ","Senior manager ",135000
Slovakia,"Web developer",140000
Slovenia," Foreman",20000
Somalia,"Program Manager",58000
"South Africa","Senior Engineer",1360000
"South Africa ","Design Lead",1150000
"South Korea","Legal Editor",43800000
"South Korea ","Native English Teacher",22717
Spain,VP,214000
"Spain ","Senior principal system analyst",55000
Sweden,"Customer Service Specialist",2300000
"Sweden ","Executive Assistant ",642000
Switzerland,Director,250000
"Switzerland ","Head of Platform",150000
Taiwan,"English editor",732000
Tanzania,Pharmacist,24000000
Thailand,Doctor,800000
"The Bahamas ","Manager of Corporate Services",66000
"Trinidad and Tobago","Associate Attorney",62400
Uganda,Director,100000
"United Arab Emirates","Associate Consultant",105000
"United Arab Emirates ",Librarian,69000
"United Kingdom",Consultant,950000
"United Kingdom ","Executive Director ",250000
"United States",bum,10000000
"United States ","Business Systems Analyst III",954000
Uruguay,"Engineering manager ",84000
Vietnam,"head of school",210000
Virginia,Attorney,94500
Wales,"Engineering Manager",77000
Zimbabwe,Chef,50000
